player_name,roster_source,draft_team,final_team,position,pro_team,games_played,actual_total_points,projected_total_points,projection_difference,projection_percentile,percent_above_projection,projection_status
Ayo Dosunmu,Final,,Hawk Tuah Demure,SG,MIN,69.0,1999.0,0.0,1999.0,53.33,,Near Projection
Cam Spencer,Final,,Goat's,SG,MEM,72.0,1955.0,0.0,1955.0,52.78,,Near Projection
Myles Turner,Both,Van Der Linde Gang,ybgcorp,C,MIL,71.0,1947.0,0.0,1947.0,52.22,,Near Projection
Andrew Nembhard,Both,YSK FC,Poole Party,PG,IND,57.0,1941.0,0.0,1941.0,51.67,,Near Projection
Jalen Suggs,Both,Jeremy Lin fan club,Jeremy Lin fan club,PG,ORL,57.0,1926.0,0.0,1926.0,51.11,,Near Projection
Keldon Johnson,Final,,SKAVALASSKKYYYY,SF,SAS,82.0,1921.0,0.0,1921.0,50.56,,Near Projection
Anthony Black,Final,,Van Der Linde Gang,PG,ORL,64.0,1910.0,0.0,1910.0,50.0,,Near Projection
Davion Mitchell,Final,,SKAVALASSKKYYYY,PG,MIA,70.0,1903.0,0.0,1903.0,49.44,,Near Projection
Norman Powell,Both,Van Der Linde Gang,Van Der Linde Gang,SG,MIA,58.0,1887.0,0.0,1887.0,48.89,,Near Projection
Quentin Grimes,Both,ybgcorp,Kat's Kittens,SG,PHL,75.0,1883.0,0.0,1883.0,48.33,,Near Projection
Cason Wallace,Final,,Goat's,SG,OKC,77.0,1872.0,0.0,1872.0,47.78,,Near Projection
Jarrett Allen,Both,ybgcorp,ybgcorp,C,CLE,56.0,1865.0,0.0,1865.0,47.22,,Near Projection
Stephen Curry,Both,SKAVALASSKKYYYY,SKAVALASSKKYYYY,PG,GSW,43.0,1846.0,0.0,1846.0,46.67,,Near Projection
Bub Carrington,Final,,Goat's,PG,WAS,82.0,1836.0,0.0,1836.0,46.11,,Near Projection
RJ Barrett,Both,Kat's Kittens,Kat's Kittens,SF,TOR,57.0,1825.0,0.0,1825.0,45.56,,Near Projection
John Collins,Draft,Phantom Troupe,,PF,LAC,69.0,1818.0,0.0,1818.0,45.0,,Near Projection
Ace Bailey,Both,Poole Party,SKAVALASSKKYYYY,SF,UTA,72.0,1792.0,0.0,1792.0,44.44,,Near Projection
Devin Vassell,Both,Hawk Tuah Demure,Poole Party,SG,SAS,67.0,1790.0,0.0,1790.0,43.89,,Near Projection
Giannis Antetokounmpo,Both,Goat's,Goat's,PF,MIL,36.0,1777.0,0.0,1777.0,43.33,,Near Projection
Collin Sexton,Both,Poole Party,Phantom Troupe,SG,CHI,68.0,1766.0,0.0,1766.0,42.5,,Near Projection
Lauri Markkanen,Both,Hawk Tuah Demure,Hawk Tuah Demure,PF,UTA,42.0,1766.0,0.0,1766.0,42.5,,Near Projection
Jrue Holiday,Final,,Poole Party,PG,POR,53.0,1753.0,0.0,1753.0,41.67,,Near Projection
Alex Sarr,Both,Poole Party,Poole Party,C,WAS,48.0,1751.0,0.0,1751.0,41.11,,Near Projection
Draymond Green,Draft,YSK FC,,PF,GSW,68.0,1742.0,0.0,1742.0,40.56,,Near Projection
Dylan Harper,Final,,Phantom Troupe,PG,SAS,69.0,1731.0,0.0,1731.0,40.0,,Near Projection
Bobby Portis,Both,Phantom Troupe,Poole Party,PF,MIL,67.0,1730.0,0.0,1730.0,39.44,,Near Projection
Brice Sensabaugh,Final,,Kat's Kittens,SF,UTA,75.0,1707.0,0.0,1707.0,38.89,,Near Projection
Tobias Harris,Draft,SKAVALASSKKYYYY,,PF,DET,63.0,1703.0,0.0,1703.0,38.33,,Near Projection
Mark Williams,Draft,Hawk Tuah Demure,,C,PHO,60.0,1690.0,0.0,1690.0,37.78,,Near Projection
Oso Ighodaro,Final,,Kat's Kittens,PF,PHO,82.0,1685.0,0.0,1685.0,37.22,,Near Projection
Jaren Jackson Jr.,Draft,YSK FC,,C,UTA,48.0,1674.0,0.0,1674.0,36.67,,Near Projection
Kyle Kuzma,Final,,Kat's Kittens,PF,MIL,69.0,1656.0,0.0,1656.0,36.11,,Near Projection
Joel Embiid,Draft,Hawk Tuah Demure,,C,PHL,38.0,1653.0,0.0,1653.0,35.56,,Near Projection
Cedric Coward,Final,,Van Der Linde Gang,SF,MEM,62.0,1636.0,0.0,1636.0,35.0,,Near Projection
P.J. Washington,Final,,Poole Party,PF,DAL,56.0,1608.0,0.0,1608.0,34.44,,Near Projection
Kevin Porter Jr.,Draft,Jeremy Lin fan club,,SG,MIL,38.0,1598.0,0.0,1598.0,33.89,,Near Projection
Ajay Mitchell,Final,,Jeremy Lin fan club,PG,OKC,57.0,1592.0,0.0,1592.0,33.33,,Near Projection
Dillon Brooks,Final,,SKAVALASSKKYYYY,SF,PHO,56.0,1570.0,0.0,1570.0,32.78,,Near Projection
Grayson Allen,Final,,Van Der Linde Gang,SG,PHO,51.0,1554.0,0.0,1554.0,32.22,,Near Projection
Darius Garland,Both,Hawk Tuah Demure,Van Der Linde Gang,PG,LAC,45.0,1549.0,0.0,1549.0,31.67,,Near Projection
Brook Lopez,Final,,Jeremy Lin fan club,C,LAC,75.0,1525.0,0.0,1525.0,31.11,,Near Projection
Shaedon Sharpe,Draft,Goat's,,SG,POR,50.0,1510.0,0.0,1510.0,30.56,,Near Projection
Ivica Zubac,Both,Phantom Troupe,Phantom Troupe,C,IND,48.0,1509.0,0.0,1509.0,30.0,,Near Projection
Kyshawn George,Final,,Poole Party,SG,WAS,48.0,1499.0,0.0,1499.0,29.44,,Near Projection
Jimmy Butler III,Draft,Goat's,,SF,GSW,38.0,1484.0,0.0,1484.0,28.89,,Near Projection
Bilal Coulibaly,Final,,Goat's,SF,WAS,56.0,1483.0,0.0,1483.0,28.33,,Near Projection
Bennedict Mathurin,Both,Van Der Linde Gang,Phantom Troupe,SF,LAC,54.0,1424.0,0.0,1424.0,27.78,,Near Projection
Daniss Jenkins,Final,,Hawk Tuah Demure,PG,DET,72.0,1421.0,0.0,1421.0,27.22,,Near Projection
Isaiah Hartenstein,Both,ybgcorp,Goat's,C,OKC,47.0,1410.0,0.0,1410.0,26.67,,Near Projection
T.J. McConnell,Draft,Kat's Kittens,,PG,IND,56.0,1405.0,0.0,1405.0,26.11,,Near Projection
Daniel Gafford,Draft,Phantom Troupe,,C,DAL,55.0,1383.0,0.0,1383.0,25.56,,Near Projection
Gui Santos,Final,,Hawk Tuah Demure,SF,GSW,68.0,1382.0,0.0,1382.0,25.0,,Below Projection
Kelly Oubre Jr.,Both,YSK FC,YSK FC,SF,PHL,50.0,1363.0,0.0,1363.0,24.44,,Below Projection
Malik Monk,Draft,Van Der Linde Gang,,SG,SAC,62.0,1354.0,0.0,1354.0,23.89,,Below Projection
Cameron Johnson,Draft,Goat's,,SF,DEN,54.0,1353.0,0.0,1353.0,23.33,,Below Projection
Jaylin Williams,Final,,Kat's Kittens,C,OKC,65.0,1326.0,0.0,1326.0,22.78,,Below Projection
Santi Aldama,Draft,Jeremy Lin fan club,,PF,MEM,43.0,1313.0,0.0,1313.0,22.22,,Below Projection
Coby White,Both,Phantom Troupe,YSK FC,PG,CHA,50.0,1306.0,0.0,1306.0,21.67,,Below Projection
Paul George,Both,Kat's Kittens,Hawk Tuah Demure,SF,PHL,37.0,1305.0,0.0,1305.0,21.11,,Below Projection
Will Riley,Final,,Jeremy Lin fan club,SF,WAS,74.0,1298.0,0.0,1298.0,20.56,,Below Projection
Klay Thompson,Draft,SKAVALASSKKYYYY,,SG,DAL,69.0,1274.0,0.0,1274.0,20.0,,Below Projection
Jakob Poeltl,Both,ybgcorp,Hawk Tuah Demure,C,TOR,46.0,1261.0,0.0,1261.0,19.44,,Below Projection
Anfernee Simons,Draft,Poole Party,,SG,CHI,55.0,1252.0,0.0,1252.0,18.89,,Below Projection
Luguentz Dort,Draft,Goat's,,SG,OKC,69.0,1233.0,0.0,1233.0,18.33,,Below Projection
Cody Williams,Final,,Hawk Tuah Demure,SG,UTA,67.0,1182.0,0.0,1182.0,17.78,,Below Projection
Tyler Herro,Both,Jeremy Lin fan club,Jeremy Lin fan club,SG,MIA,33.0,1173.0,0.0,1173.0,17.22,,Below Projection
Tre Johnson,Draft,Poole Party,,SG,WAS,60.0,1164.0,0.0,1164.0,16.67,,Below Projection
Franz Wagner,Both,Van Der Linde Gang,Van Der Linde Gang,SF,ORL,34.0,1152.0,0.0,1152.0,16.11,,Below Projection
Jalen Williams,Both,Poole Party,Poole Party,PF,OKC,33.0,1132.0,0.0,1132.0,15.56,,Below Projection
Zach LaVine,Draft,Goat's,,SG,SAC,39.0,1097.0,0.0,1097.0,15.0,,Below Projection
Christian Braun,Draft,ybgcorp,,SG,DEN,44.0,1095.0,0.0,1095.0,14.44,,Below Projection
