week,fantasy_team_id,fantasy_team,opponent_team_id,opponent_team,player_id,player_name,position,lineup_slot,eligible_slots,points,was_started,pro_team,injury_status,injured
1,10,Van Der Linde Gang,2,Phantom Troupe,4433134,Scottie Barnes,SF,PG,"['SG', 'SF', 'PF', 'G', 'F', 'SG/SF', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",146.0,True,TOR,ACTIVE,False
1,10,Van Der Linde Gang,2,Phantom Troupe,5104157,Victor Wembanyama,C,PG,"['C', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",247.0,True,SAS,ACTIVE,False
1,10,Van Der Linde Gang,2,Phantom Troupe,4278129,Deandre Ayton,C,PG,"['C', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",57.0,True,LAL,ACTIVE,False
1,10,Van Der Linde Gang,2,Phantom Troupe,4066383,Miles Bridges,SF,PG,"['SF', 'PF', 'F', 'SG/SF', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",110.0,True,CHA,ACTIVE,False
1,10,Van Der Linde Gang,2,Phantom Troupe,3133628,Myles Turner,C,PG,"['C', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",79.0,True,MIL,OUT,True
1,10,Van Der Linde Gang,2,Phantom Troupe,4683634,Bennedict Mathurin,SF,PG,"['SG', 'SF', 'G', 'F', 'SG/SF', 'G/F', 'F/C', 'UT', 'BE', 'IR']",81.0,True,LAC,ACTIVE,False
1,10,Van Der Linde Gang,2,Phantom Troupe,4433627,Keyonte George,PG,PG,"['PG', 'SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",70.0,True,UTA,OUT,True
1,10,Van Der Linde Gang,2,Phantom Troupe,2595516,Norman Powell,SG,PG,"['SG', 'SF', 'G', 'F', 'SG/SF', 'G/F', 'F/C', 'UT', 'BE', 'IR']",133.0,True,MIA,ACTIVE,False
1,10,Van Der Linde Gang,2,Phantom Troupe,4432639,Jabari Smith Jr.,PF,PG,"['PF', 'C', 'F', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",20.0,True,HOU,ACTIVE,False
1,2,Phantom Troupe,10,Van Der Linde Gang,4684742,Ausar Thompson,SF,PG,"['SF', 'PF', 'F', 'SG/SF', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",118.0,True,DET,ACTIVE,False
1,2,Phantom Troupe,10,Van Der Linde Gang,3913176,Brandon Ingram,SF,PG,"['SF', 'F', 'SG/SF', 'G/F', 'F/C', 'UT', 'BE', 'IR']",107.0,True,TOR,OUT,True
1,2,Phantom Troupe,10,Van Der Linde Gang,3934719,OG Anunoby,SF,PG,"['SF', 'PF', 'F', 'SG/SF', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",104.0,True,NYK,ACTIVE,False
1,2,Phantom Troupe,10,Van Der Linde Gang,4432166,Cade Cunningham,PG,PG,"['PG', 'SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",107.0,True,DET,ACTIVE,False
1,2,Phantom Troupe,10,Van Der Linde Gang,4397002,Ayo Dosunmu,SG,PG,"['SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",21.0,True,MIN,ACTIVE,False
1,2,Phantom Troupe,10,Van Der Linde Gang,5124612,VJ Edgecombe,SG,PG,"['SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",96.0,True,PHL,ACTIVE,False
1,2,Phantom Troupe,10,Van Der Linde Gang,3978,DeMar DeRozan,SF,PG,"['SF', 'PF', 'F', 'SG/SF', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",124.0,True,SAC,OUT,True
1,2,Phantom Troupe,10,Van Der Linde Gang,3064482,Bobby Portis,PF,PG,"['PF', 'F', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",15.0,True,MIL,OUT,True
1,2,Phantom Troupe,10,Van Der Linde Gang,4396909,Aaron Nesmith,SF,PG,"['SF', 'F', 'SG/SF', 'G/F', 'F/C', 'UT', 'BE', 'IR']",60.0,True,IND,OUT,True
1,2,Phantom Troupe,10,Van Der Linde Gang,4066320,Desmond Bane,SG,PG,"['SG', 'SF', 'G', 'F', 'SG/SF', 'G/F', 'F/C', 'UT', 'BE', 'IR']",77.0,True,ORL,ACTIVE,False
1,2,Phantom Troupe,10,Van Der Linde Gang,4395628,Zion Williamson,PF,PG,"['PF', 'F', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",102.0,True,NOP,OUT,True
1,2,Phantom Troupe,10,Van Der Linde Gang,4017837,Ivica Zubac,C,PG,"['C', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",97.0,True,IND,OUT,True
1,2,Phantom Troupe,10,Van Der Linde Gang,2991070,Jerami Grant,PF,PG,"['PF', 'F', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",23.0,True,POR,ACTIVE,False
1,2,Phantom Troupe,10,Van Der Linde Gang,3908845,John Collins,PF,PG,"['PF', 'C', 'F', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",31.0,True,LAC,ACTIVE,False
1,7,Goat's,1,YSK FC,2490149,CJ McCollum,SG,PG,"['PG', 'SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",29.0,True,ATL,ACTIVE,False
1,7,Goat's,1,YSK FC,3202,Kevin Durant,PF,PG,"['SF', 'PF', 'F', 'SG/SF', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",90.0,True,HOU,OUT,True
1,7,Goat's,1,YSK FC,4914336,Shaedon Sharpe,SG,PG,"['SG', 'SF', 'G', 'F', 'SG/SF', 'G/F', 'F/C', 'UT', 'BE', 'IR']",46.0,True,POR,ACTIVE,False
1,7,Goat's,1,YSK FC,4066261,Bam Adebayo,C,PG,"['PF', 'C', 'F', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",84.0,True,MIA,OUT,True
1,7,Goat's,1,YSK FC,4395724,Immanuel Quickley,PG,PG,"['PG', 'SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",99.0,True,TOR,OUT,True
1,7,Goat's,1,YSK FC,6450,Kawhi Leonard,SF,PG,"['SF', 'PF', 'F', 'SG/SF', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",124.0,True,LAC,ACTIVE,False
1,7,Goat's,1,YSK FC,6580,Bradley Beal,SF,PG,"['SG', 'SF', 'G', 'F', 'SG/SF', 'G/F', 'F/C', 'UT', 'BE', 'IR']",17.0,True,LAC,OUT,True
1,7,Goat's,1,YSK FC,3064440,Zach LaVine,SG,PG,"['SG', 'SF', 'G', 'F', 'SG/SF', 'G/F', 'F/C', 'UT', 'BE', 'IR']",112.0,True,SAC,OUT,True
1,7,Goat's,1,YSK FC,3936299,Jamal Murray,PG,PG,"['PG', 'G', 'G/F', 'UT', 'BE', 'IR']",98.0,True,DEN,ACTIVE,False
