season_year,week,team_id,team_name,actual_points,optimal_points,points_left,efficiency,management_misses
2026,12,6,Jeremy Lin fan club,1693.0,1693.0,0.0,1.0,0
2026,12,7,Goat's,1496.0,1496.0,0.0,1.0,0
2026,12,8,Hawk Tuah Demure,1483.0,1483.0,0.0,1.0,0
2026,12,9,ybgcorp,1569.0,1569.0,0.0,1.0,0
2026,12,10,Van Der Linde Gang,1232.0,1232.0,0.0,1.0,0
2026,13,1,YSK FC,1396.0,1396.0,0.0,1.0,0
2026,13,2,Phantom Troupe,1217.0,1217.0,0.0,1.0,0
2026,13,3,Kat's Kittens,1362.0,1362.0,0.0,1.0,0
2026,13,4,SKAVALASSKKYYYY,1122.0,1122.0,0.0,1.0,0
2026,13,5,Poole Party,1178.0,1178.0,0.0,1.0,0
2026,13,6,Jeremy Lin fan club,1443.0,1443.0,0.0,1.0,0
2026,13,7,Goat's,1569.0,1569.0,0.0,1.0,0
2026,13,8,Hawk Tuah Demure,1374.0,1374.0,0.0,1.0,0
2026,13,9,ybgcorp,1170.0,1170.0,0.0,1.0,0
2026,13,10,Van Der Linde Gang,1080.0,1080.0,0.0,1.0,0
2026,14,1,YSK FC,1601.0,1601.0,0.0,1.0,0
2026,14,2,Phantom Troupe,1332.0,1332.0,0.0,1.0,0
2026,14,3,Kat's Kittens,1433.0,1433.0,0.0,1.0,0
2026,14,4,SKAVALASSKKYYYY,1562.0,1562.0,0.0,1.0,0
2026,14,5,Poole Party,1457.0,1457.0,0.0,1.0,0
2026,14,6,Jeremy Lin fan club,1109.0,1109.0,0.0,1.0,0
2026,14,7,Goat's,1504.0,1504.0,0.0,1.0,0
2026,14,8,Hawk Tuah Demure,1149.0,1149.0,0.0,1.0,0
2026,14,9,ybgcorp,1190.0,1190.0,0.0,1.0,0
2026,14,10,Van Der Linde Gang,1367.0,1367.0,0.0,1.0,0
2026,15,1,YSK FC,1489.0,1489.0,0.0,1.0,0
2026,15,2,Phantom Troupe,1720.0,1720.0,0.0,1.0,0
2026,15,3,Kat's Kittens,1622.0,1622.0,0.0,1.0,0
2026,15,4,SKAVALASSKKYYYY,1443.0,1443.0,0.0,1.0,0
2026,15,5,Poole Party,1338.0,1338.0,0.0,1.0,0
2026,15,6,Jeremy Lin fan club,1385.0,1385.0,0.0,1.0,0
2026,15,7,Goat's,1505.0,1505.0,0.0,1.0,0
2026,15,8,Hawk Tuah Demure,1258.0,1258.0,0.0,1.0,0
2026,15,9,ybgcorp,1800.0,1800.0,0.0,1.0,0
2026,15,10,Van Der Linde Gang,1287.0,1287.0,0.0,1.0,0
2026,16,1,YSK FC,1413.0,1413.0,0.0,1.0,0
2026,16,2,Phantom Troupe,1160.0,1160.0,0.0,1.0,0
2026,16,3,Kat's Kittens,1144.0,1144.0,0.0,1.0,0
2026,16,4,SKAVALASSKKYYYY,943.0,943.0,0.0,1.0,0
2026,16,5,Poole Party,947.0,947.0,0.0,1.0,0
2026,16,6,Jeremy Lin fan club,1120.0,1120.0,0.0,1.0,0
2026,16,7,Goat's,1260.0,1260.0,0.0,1.0,0
2026,16,8,Hawk Tuah Demure,1052.0,1052.0,0.0,1.0,0
2026,16,9,ybgcorp,1381.0,1381.0,0.0,1.0,0
2026,16,10,Van Der Linde Gang,1198.0,1198.0,0.0,1.0,0
2026,17,1,YSK FC,1395.0,1395.0,0.0,1.0,0
2026,17,2,Phantom Troupe,1670.0,1670.0,0.0,1.0,0
2026,17,3,Kat's Kittens,1792.0,1792.0,0.0,1.0,0
2026,17,4,SKAVALASSKKYYYY,1420.0,1420.0,0.0,1.0,0
2026,17,5,Poole Party,1285.0,1285.0,0.0,1.0,0
2026,17,6,Jeremy Lin fan club,1648.0,1648.0,0.0,1.0,0
2026,17,7,Goat's,1555.0,1555.0,0.0,1.0,0
2026,17,8,Hawk Tuah Demure,1612.0,1612.0,0.0,1.0,0
2026,17,9,ybgcorp,1767.0,1767.0,0.0,1.0,0
2026,17,10,Van Der Linde Gang,1179.0,1179.0,0.0,1.0,0
2026,18,1,YSK FC,1427.0,1427.0,0.0,1.0,0
2026,18,2,Phantom Troupe,1434.0,1434.0,0.0,1.0,0
2026,18,3,Kat's Kittens,1446.0,1446.0,0.0,1.0,0
2026,18,4,SKAVALASSKKYYYY,1110.0,1110.0,0.0,1.0,0
2026,18,5,Poole Party,1060.0,1060.0,0.0,1.0,0
