player_name,fantasy_team,overall_pick,avg_points,games_played,actual_pg_rank,expected_avg_points,vope_score,roi,draft_pick_weight,weighted_vope_score,value_status
Kelly Oubre Jr.,YSK FC,122,27.26,50.0,80,21.978333333333335,5.281666666666666,0.2403124289072571,1.062015503875969,5.60921188630491,Steal
Isaiah Hartenstein,ybgcorp,91,30.0,47.0,72,25.724999999999998,4.275000000000002,0.1661807580174928,1.302325581395349,5.567441860465119,Steal
Toumani Camara,Hawk Tuah Demure,121,27.11,82.0,81,22.00333333333333,5.106666666666669,0.23208604756855036,1.069767441860465,5.4629457364341105,Steal
Stephen Curry,SKAVALASSKKYYYY,35,42.93,43.0,17,39.8675,3.0625,0.07681695616730419,1.7364341085271318,5.317829457364341,Steal
Alperen Sengun,YSK FC,19,43.86,72.0,13,41.19333333333333,2.6666666666666714,0.06473539407671157,1.8604651162790697,4.961240310077528,Good Value
Kevin Durant,Goat's,18,43.83,78.0,14,41.19833333333333,2.6316666666666677,0.06387798859177155,1.8682170542635659,4.916524547803619,Good Value
Darius Garland,Hawk Tuah Demure,61,34.42,45.0,50,31.263333333333332,3.15666666666667,0.10097025269218478,1.5348837209302326,4.845116279069773,Good Value
Jaylen Brown,SKAVALASSKKYYYY,15,43.59,71.0,15,41.23833333333333,2.3516666666666737,0.05702622964070664,1.8914728682170543,4.448113695090453,Good Value
Josh Giddey,Hawk Tuah Demure,21,41.94,54.0,21,39.68125,2.258749999999999,0.056922349976374215,1.8449612403100775,4.167306201550386,Good Value
Andrew Wiggins,YSK FC,79,31.97,68.0,63,29.207142857142856,2.7628571428571433,0.09459525556370753,1.3953488372093024,3.8551495016611304,Good Value
CJ McCollum,Goat's,78,31.86,76.0,64,29.222857142857144,2.6371428571428552,0.09024247164646063,1.4031007751937985,3.700177187153929,Good Value
Bobby Portis,Phantom Troupe,128,25.82,67.0,88,22.218333333333334,3.6016666666666666,0.16210336808941564,1.0155038759689923,3.6575064599483205,Good Value
Chet Holmgren,Jeremy Lin fan club,49,38.04,69.0,36,36.1175,1.9224999999999994,0.05322904409219906,1.627906976744186,3.129651162790697,Good Value
