season_year,week,home_team_id,home_team,home_score,away_team_id,away_team,away_score,winner,loser,winner_team_id,loser_team_id,margin
2026,17,9,ybgcorp,1767.0,4,SKAVALASSKKYYYY,1420.0,ybgcorp,SKAVALASSKKYYYY,9,4,347.0
2026,17,6,Jeremy Lin fan club,1648.0,3,Kat's Kittens,1792.0,Kat's Kittens,Jeremy Lin fan club,3,6,144.0
2026,17,1,YSK FC,1395.0,2,Phantom Troupe,1670.0,Phantom Troupe,YSK FC,2,1,275.0
2026,18,8,Hawk Tuah Demure,1096.0,5,Poole Party,1060.0,Hawk Tuah Demure,Poole Party,8,5,36.0
2026,18,4,SKAVALASSKKYYYY,1110.0,10,Van Der Linde Gang,1050.0,SKAVALASSKKYYYY,Van Der Linde Gang,4,10,60.0
2026,18,3,Kat's Kittens,1446.0,7,Goat's,1340.0,Kat's Kittens,Goat's,3,7,106.0
2026,18,2,Phantom Troupe,1434.0,9,ybgcorp,1091.0,Phantom Troupe,ybgcorp,2,9,343.0
2026,18,1,YSK FC,1427.0,6,Jeremy Lin fan club,1176.0,YSK FC,Jeremy Lin fan club,1,6,251.0
2026,19,4,SKAVALASSKKYYYY,1236.0,8,Hawk Tuah Demure,1212.0,SKAVALASSKKYYYY,Hawk Tuah Demure,4,8,24.0
2026,19,5,Poole Party,1278.0,3,Kat's Kittens,1337.0,Kat's Kittens,Poole Party,3,5,59.0
2026,19,10,Van Der Linde Gang,1391.0,2,Phantom Troupe,1104.0,Van Der Linde Gang,Phantom Troupe,10,2,287.0
2026,19,7,Goat's,1587.0,1,YSK FC,1013.0,Goat's,YSK FC,7,1,574.0
2026,19,9,ybgcorp,1135.0,6,Jeremy Lin fan club,1381.0,Jeremy Lin fan club,ybgcorp,6,9,246.0
2026,20,8,Hawk Tuah Demure,1601.0,3,Kat's Kittens,1538.0,Hawk Tuah Demure,Kat's Kittens,8,3,63.0
2026,20,2,Phantom Troupe,1566.0,4,SKAVALASSKKYYYY,1353.0,Phantom Troupe,SKAVALASSKKYYYY,2,4,213.0
2026,20,1,YSK FC,1032.0,5,Poole Party,1144.0,Poole Party,YSK FC,5,1,112.0
2026,20,6,Jeremy Lin fan club,1137.0,10,Van Der Linde Gang,1014.0,Jeremy Lin fan club,Van Der Linde Gang,6,10,123.0
2026,20,9,ybgcorp,1364.0,7,Goat's,1478.0,Goat's,ybgcorp,7,9,114.0
2026,21,8,Hawk Tuah Demure,3067.0,6,Jeremy Lin fan club,2933.0,Hawk Tuah Demure,Jeremy Lin fan club,8,6,134.0
2026,21,1,YSK FC,2819.0,7,Goat's,2583.0,YSK FC,Goat's,1,7,236.0
2026,21,9,ybgcorp,2438.0,3,Kat's Kittens,1246.0,ybgcorp,Kat's Kittens,9,3,1192.0
2026,21,2,Phantom Troupe,2740.0,4,SKAVALASSKKYYYY,3359.0,SKAVALASSKKYYYY,Phantom Troupe,4,2,619.0
2026,21,10,Van Der Linde Gang,2467.0,5,Poole Party,2052.0,Van Der Linde Gang,Poole Party,10,5,415.0
2026,22,8,Hawk Tuah Demure,2807.0,1,YSK FC,2163.0,Hawk Tuah Demure,YSK FC,8,1,644.0
2026,22,7,Goat's,2148.0,6,Jeremy Lin fan club,2763.0,Jeremy Lin fan club,Goat's,6,7,615.0
2026,22,9,ybgcorp,1637.0,4,SKAVALASSKKYYYY,1974.0,SKAVALASSKKYYYY,ybgcorp,4,9,337.0
2026,22,3,Kat's Kittens,1315.0,10,Van Der Linde Gang,2438.0,Van Der Linde Gang,Kat's Kittens,10,3,1123.0
2026,22,2,Phantom Troupe,2698.0,5,Poole Party,1196.0,Phantom Troupe,Poole Party,2,5,1502.0
